"Week","Outcomes","Key Topics","Core Resources","Weekly Project"
"1","Set up Python workflow","-  Virtual envs & pip -  Jupyter Lab -  Basic scripting","https://www.youtube.com/watch?v=NZ0laizc4ug","Write a script that pings a REST endpoint and logs JSON."
"2","Data wrangling foundations","-  NumPy arrays -  Pandas DataFrame CRUD -  Matplotlib plots","https://www.youtube.com/watch?v=VX6kCjwdNPw","Load CSV → clean → plot histogram of any column."
"3","Python web APIs","-  FastAPI basics -  REST verbs -  Pythonrequests","https://www.scrapingbee.com/blog/how-to-make-python-api-calls/","Build a FastAPI endpoint that returns cleaned CSV stats."
"4–5","Relational thinking","-  SQL SELECT/WHERE -  INNER/LEFT JOIN -  GROUP BY & HAVING -pandas.read_sql","https://pandas.pydata.org/docs/getting_started/comparison/comparison_with_sql.html","Spin up SQLite, import dataset, query via pandas + visualize join result."
"6","Data visualization mastery","-  Matplotlib advanced -  Seaborn -  Dashboard mindset","https://www.codingexplorations.com/blog/exploring-pythons-data-science-stack-pandas-numpy-and-matplotlib","Publish a mini-dashboard (Streamlit) showing KPIs from week 4-5 data."
"7–8","Classical ML toolkit","-  Scikit-learn API -  Regression, classification, clustering -  Train/test split, metrics","https://www.youtube.com/watch?v=7eh4d6sabA0","Build a classifier on open dataset; evaluate F1 & confusion matrix."
"9–11","Deep learning core","-  Neural-net basics -  TensorFlow 2 Keras API -  PyTorch workflow -  CNN intro (vision)","https://www.youtube.com/watch?v=LyJtbe__2i0","Replicate MNIST digits classifier in both TF & PyTorch; compare accuracy."
"12","Modern LLM landscape","-  GPT architecture overview -  Prompt engineering -  Strengths vs limits (“black-box”)","https://metaschool.so/articles/what-is-langchain-complete-guide-2025/","Write a notebook that probes GPT-4 with systematic prompts; log observations."
"13","RAG & agent frameworks","-  LangChain LCEL -  LangGraph flows -  Tool abstraction","https://python.langchain.com/docs/tutorials/","Prototype a retrieval-augmented FAQ bot on your company docs."
"14","No-code agent builders","-  CrewAI Studio -  LangFlow -  n8n workflows","https://python.langchain.com/docs/tutorials/","Re-implement week 13 bot in LangFlow canvas."
"15","AI-assisted coding & MCP","-  Cursor, Replit AI, Windsurf -  Model-centric-product (MCP) servers","https://www.youtube.com/watch?v=V_xro1bcAuA","Use a code-assistant IDE to refactor week 7-8 project; deploy via MCP."
"16","Capstone: autonomous business agent","-  Workflow automation -  Internal chatbot UI -  Monitoring & observability (LangSmith)","Consolidate prior resources","Ship an AI agent that triages customer emails, queries DB, and drafts responses; demo end-to-end."